Date,No.,N / S,C / Rn,C / Rs,C / R,Wolf,                                                       Notes
9 Aug 1856,,,,,0,0,
10 Aug 1856,,,,,0,0,
11 Aug 1856,,,,,0,0,
12 Aug 1856,,,,,0,0,
13 Aug 1856,,,,,0,0,
14 Aug 1856,,,,,0,0,
15 Aug 1856,,,,,0,0,
16 Aug 1856,123,S,,11,11,11,
17 Aug 1856,123,S,,11,11,12,
21 Aug 1856,123,S,,14,14,11,
22 Aug 1856,123,S,,13,13,13,
23 Aug 1856,123,S,,11,11,26,Additional group seen by W?
26 Aug 1856,123,S,,16,16,11,
27 Aug 1856,123,S,,12,12,11,
28 Aug 1856,,,,,0,11,
30 Aug 1856,124,S,,11,11,0,
31 Aug 1856,124,S,,12,12,0,
,,,,,,,"Rn = 0.5, Rs = 4.6, R = 5.1."
1 Sep 1856,124,S,,12,12,0,
2 Sep 1856,124,S,,14,14,19,
3 Sep 1856,124,S,,17,17,19,
4 Sep 1856,124,S,,15,15,17,
5 Sep 1856,124,S,,15,15,14,
6 Sep 1856,124,S,,14,14,15,
7 Sep 1856,124,S,,11,11,11,
8 Sep 1856,,,,,0,0,
11 Sep 1856,125,N,13,,13,0,
13 Sep 1856,125,N,14,,14,14,
14 Sep 1856,125,N,15,,15,13,
15 Sep 1856,,,,,0,11,
16 Sep 1856,,,,,0,0,
18 Sep 1856,126,S,,11,11,0,
19 Sep 1856,126,S,,14,14,0,
20 Sep 1856,,,,,0,0,
21 Sep 1856,,,,,0,0,
23 Sep 1856,,,,,0,0,
25 Sep 1856,,,,,0,0,
26 Sep 1856,,,,,0,0,
29 Sep 1856,,,,,0,0,
30 Sep 1856,,,,,0,0,
,,,,,,,"Rn = 1.9, Rs = 5.6, R = 7.5."
1 Oct 1856,,,,,0,0,
2 Oct 1856,,,,,0,0,
7 Oct 1856,,,,,0,0,
20 Oct 1856,,,,,0,0,
21 Oct 1856,,,,,0,0,
26 Oct 1856,,,,,0,0,
27 Oct 1856,127,S,,12,12,0,
29 Oct 1856,128,S,,11,11,15,
30 Oct 1856,128,S,,11,11,16,
,,,,,,,"Rn = 0.0, Rs = 3.8, R = 3.8."
1 Nov 1856,128,S,,12,12,18,
3 Nov 1856,128,S,,11,11,11,
4 Nov 1856,128,S,,11,11,0,
5 Nov 1856,,,,,0,0,
6 Nov 1856,,,,,0,0,
9 Nov 1856,,,,,0,0,
10 Nov 1856,,,,,0,0,
11 Nov 1856,,,,,0,0,
12 Nov 1856,,,,,0,0,
13 Nov 1856,,,,,0,0,
14 Nov 1856,,,,,0,0,
15 Nov 1856,129,S,,13,13,12,
16 Nov 1856,129,S,,18,18,18,
18 Nov 1856,129,S,,14,14,14,
19 Nov 1856,129,S,,11,11,11,
23 Nov 1856,,,,,0,0,
24 Nov 1856,130,S,,13,13,11,
25 Nov 1856,130,S,,12,12,11,
26 Nov 1856,132,S,,11,11,18,
27 Nov 1856,131,S,,11,,,
27 Nov 1856,132,S,,11,22,23,
29 Nov 1856,132,S,,11,11,14,
30 Nov 1856,132,S,,11,11,11,
,,,,,,,"Rn 0.0, Rs = 7.7, R = 7.7."
1 Dec 1856,132,S,,12,12,11,
2 Dec 1856,,,,,0,0,
4 Dec 1856,,,,,0,0,
7 Dec 1856,,,,,0,0,
11 Dec 1856,,,,,0,0,
12 Dec 1856,,,,,0,0,
14 Dec 1856,,,,,0,0,
15 Dec 1856,,,,,0,0,
16 Dec 1856,,,,,0,0,
19 Dec 1856,133,S,,14,14,13,
23 Dec 1856,133,S,,14,14,24,
24 Dec 1856,133,S,,26,26,32,
26 Dec 1856,133,S,,17,17,16,
27 Dec 1856,133,S,,14,14,14,
28 Dec 1856,133,S,,11,11,13,"Omitted from C's drawing sequence, but only one measure today."
29 Dec 1856,,,,,0,0,
,,,,,,,"Rn = 0.0, Rs = 6.8, R = 6.8."
1 Jan 1857,134,S,,15,15,17,
2 Jan 1857,134,S,,18,18,17,
3 Jan 1857,134,S,,14,14,14,
5 Jan 1857,134,S,,11,11,12,
10 Jan 1857,134,S,,11,,,"Extremely close to limb - missed by W? Not shown on sequence, but single measure."
10 Jan 1857,135,N,21,,32,15,
12 Jan 1857,135,N,15,,,,
12 Jan 1857,136,N,11,,26,28,No sequence. Single measure today.
14 Jan 1857,135,N,13,,,,
14 Jan 1857,136,N,13,,,,No sequence. Three measures today.
14 Jan 1857,137,N,11,,37,35,Not shown on sequence. Extremely close to limb. Single measure today.
16 Jan 1857,137,N,12,,12,11,
17 Jan 1857,137,N,15,,15,11,
19 Jan 1857,137,N,12,,12,11,
21 Jan 1857,137,N,12,,12,13,
22 Jan 1857,138,S,,11,11,23,
24 Jan 1857,138,S,,11,11,0,
28 Jan 1857,138,S,,11,11,11,
29 Jan 1857,138,S,,11,11,11,
30 Jan 1857,,,,,0,0,
31 Jan 1857,,,,,0,0,
,,,,,,,"Rn 7.9, Rs = 6.7, R = 14.6."
1 Feb 1857,,,,,0,0,
4 Feb 1857,139,S,,13,13,12,
6 Feb 1857,139,S,,13,13,14,
9 Feb 1857,139,S,,13,13,13,
11 Feb 1857,139,S,,13,13,13,
12 Feb 1857,139,S,,12,,,
12 Feb 1857,140,S,,11,23,13,140 close to limb. Missed by Wolf?
13 Feb 1857,139,S,,12,12,13,
15 Feb 1857,139,S,,11,,,
15 Feb 1857,140,S,,12,23,23,
16 Feb 1857,139,S,,11,,,Not shown on sequence. Single measure today.
16 Feb 1857,140,S,,11,22,27,
17 Feb 1857,140,S,,11,11,16,
18 Feb 1857,,,,,0,0,
20 Feb 1857,,,,,0,0,
22 Feb 1857,,,,,0,0,
23 Feb 1857,,,,,0,0,
24 Feb 1857,,,,,0,0,
25 Feb 1857,,,,,0,0,
26 Feb 1857,,,,,0,0,
28 Feb 1857,,,,,0,0,
,,,,,,,"Rn 0.0, Rs = 7.9, R = 7.9."
1 Mar 1857,,,,,0,0,
3 Mar 1857,,,,,0,0,
4 Mar 1857,,,,,0,0,
5 Mar 1857,141,S,,15,15,14,
6 Mar 1857,141,S,,14,14,13,
7 Mar 1857,,,,,0,0,
8 Mar 1857,,,,,0,0,
9 Mar 1857,,,,,0,0,
10 Mar 1857,,,,,0,11,
11 Mar 1857,,,,,0,13,
12 Mar 1857,,,,,0,12,
14 Mar 1857,,,,,0,11,
15 Mar 1857,142,S,,11,11,11,
16 Mar 1857,142,S,,11,11,13,
17 Mar 1857,142,S,,12,12,11,
18 Mar 1857,142,S,,11,11,13,
21 Mar 1857,,,,,0,0,
22 Mar 1857,,,,,0,0,
23 Mar 1857,,,,,0,0,
24 Mar 1857,,,,,0,0,
26 Mar 1857,,,,,0,0,
27 Mar 1857,,,,,0,11,
28 Mar 1857,,,,,0,0,
31 Mar 1857,143,N,11,,11,14,
,,,,,,,"Rn 0.4, Rs = 3.1, R = 3.5."
1 Apr 1857,143,N,11,,,,
1 Apr 1857,144,S,,11,22,22,
6 Apr 1857,144,S,,14,14,22,
7 Apr 1857,144,S,,20,20,25,
9 Apr 1857,144,S,,19,19,16,
10 Apr 1857,144,S,,14,14,15,
12 Apr 1857,144,S,,19,,,
12 Apr 1857,145,S,,11,30,32,145 not shown on sequence or rotation drawing - single measure.
14 Apr 1857,,,,,0,27,
15 Apr 1857,,,,,0,0,
17 Apr 1857,,,,,0,0,
18 Apr 1857,,,,,0,0,
19 Apr 1857,,,,,0,0,
20 Apr 1857,,,,,0,0,
21 Apr 1857,,,,,0,0,
24 Apr 1857,,,,,0,0,
27 Apr 1857,,,,,0,0,
29 Apr 1857,146,S,,11,11,13,
30 Apr 1857,146,S,,13,13,11,
,,,,,,,"Rn 0.6, Rs = 7.3, R = 7.9."
2 May 1857,146,S,,15,15,16,
3 May 1857,146,S,,21,21,16,
5 May 1857,146,S,,21,21,22,
6 May 1857,146,S,,11,11,25,
7 May 1857,146,S,,19,19,24,
9 May 1857,146,S,,12,,,
9 May 1857,147,S,,12,24,15,
11 May 1857,146,S,,11,,,
11 May 1857,147,S,,13,24,26,
13 May 1857,147,S,,16,16,30,
14 May 1857,147,S,,31,,,
14 May 1857,148,S,,12,,,
14 May 1857,152,N,11,,54,42,
15 May 1857,147,S,,21,,,
15 May 1857,152,N,21,,42,53,
16 May 1857,147,S,,23,,,
16 May 1857,152,N,15,,,,
16 May 1857,151,S,,12,,,
16 May 1857,153,S,,13,63,60,
17 May 1857,147,S,,14,,,
17 May 1857,152,N,20,,,,
17 May 1857,151,S,,13,47,64,
18 May 1857,147,S,,14,,,
18 May 1857,152,N,20,,,,
18 May 1857,150,S,,13,,,
18 May 1857,151,S,,11,,,
18 May 1857,153,S,,13,71,75,
19 May 1857,152,N,23,,,,
19 May 1857,150,S,,13,,,
19 May 1857,154,S,,11,47,49,
20 May 1857,149,N,13,,,,
20 May 1857,150,S,,14,,,
20 May 1857,152,N,19,,46,49,
24 May 1857,152,N,11,,,,
24 May 1857,150,S,,11,,,
24 May 1857,154,S,,11,,,
24 May 1857,155,N,12,,45,16,
26 May 1857,157,S,,11,11,16,
27 May 1857,157,S,,11,11,12,
28 May 1857,157,S,,11,11,11,
30 May 1857,157,S,,11,11,29,
,,,,,,,"Rn = 8.3, Rs = 22.2, R = 30.5."
1 Jun 1857,156,N,13,,,,
1 Jun 1857,157,S,,11,24,24,
2 Jun 1857,156,N,12,,,,
2 Jun 1857,157,S,,12,,,
2 Jun 1857,158,S,,14,38,34,
3 Jun 1857,156,N,11,,,,
3 Jun 1857,157,S,,12,,,
3 Jun 1857,158,S,,16,39,40,C's 158 sequence drawing difficult to interpret.
4 Jun 1857,157,S,,11,,,
4 Jun 1857,158,S,,16,27,29,C's 158 sequence drawing difficult to interpret.
5 Jun 1857,157,S,,11,,,
5 Jun 1857,158,S,,15,26,28,C's 158 sequence drawing difficult to interpret.
7 Jun 1857,157,S,,11,,,
7 Jun 1857,158,S,,13,24,27,
8 Jun 1857,158,S,,16,16,15,
10 Jun 1857,,,,,0,11,
11 Jun 1857,,,,,0,11,
12 Jun 1857,,,,,0,23,
13 Jun 1857,,,,,0,16,
14 Jun 1857,159,S,,12,12,23,
15 Jun 1857,159,S,,12,,,
15 Jun 1857,160,S,,11,23,24,No sequence for 160. Single spot shown on rotation chart.
16 Jun 1857,,,,,0,22,
17 Jun 1857,,,,,0,0,
18 Jun 1857,,,,,0,0,
19 Jun 1857,,,,,0,0,
20 Jun 1857,,,,,0,0,
21 Jun 1857,,,,,0,0,
22 Jun 1857,,,,,0,0,
23 Jun 1857,161,S,,11,11,11,
24 Jun 1857,161,S,,11,11,11,
25 Jun 1857,161,S,,11,11,12,
26 Jun 1857,161,S,,11,11,11,
27 Jun 1857,161,S,,11,11,11,
28 Jun 1857,161,S,,11,11,11,
29 Jun 1857,161,S,,14,,,
29 Jun 1857,163,S,,12,26,16,No sequence for 163. Two spots shown on rotation chart.
,,,,,,,"Rn = 1.3, Rs = 10.6, R = 11.9."
6 Jul 1857,162,N,18,,,,
6 Jul 1857,164,S,,11,29,29,See note for 8 Jul.
7 Jul 1857,162,N,13,,,,
7 Jul 1857,164,S,,11,24,26,See note for 8 Jul.
8 Jul 1857,162,N,13,,,,
8 Jul 1857,164,S,,11,,,"Single observation on four days, but no sequence. Rotation chart shows 3 spots."
8 Jul 1857,165,N,14,,38,41,
9 Jul 1857,162,N,11,,,,
9 Jul 1857,165,N,16,,27,27,
11 Jul 1857,165,N,16,,16,17,
12 Jul 1857,165,N,13,,13,21,
13 Jul 1857,164,S,,11,,,See note for 8 Jul.
13 Jul 1857,165,N,13,,,,
13 Jul 1857,166,S,,11,35,24,"C's note: ""a well defined dot""."
14 Jul 1857,165,N,12,,,,
14 Jul 1857,166,S,,11,23,22,See note for 13 Jul.
15 Jul 1857,,,,,0,0,
16 Jul 1857,,,,,0,0,
17 Jul 1857,167,N,16,,16,16,
18 Jul 1857,167,N,25,,25,22,
19 Jul 1857,167,N,27,,27,34,
20 Jul 1857,167,N,27,,27,38,
21 Jul 1857,167,N,34,,34,32,
22 Jul 1857,167,N,23,,23,30,
23 Jul 1857,167,N,23,,23,24,
24 Jul 1857,167,N,21,,21,22,
25 Jul 1857,167,N,15,,,,
25 Jul 1857,168,N,11,,26,30,
26 Jul 1857,167,N,12,,,,
26 Jul 1857,168,N,11,,23,24,
28 Jul 1857,,,,,0,0,
29 Jul 1857,,,,,0,0,
30 Jul 1857,,,,,0,0,
31 Jul 1857,,,,,0,0,
,,,,,,,"Rn = 16.0, Rs = 2.8, R = 18.8."
3 Aug 1857,,,,,0,0,
4 Aug 1857,,,,,0,0,
5 Aug 1857,,,,,0,0,
6 Aug 1857,,,,,0,0,
9 Aug 1857,,,,,0,0,
10 Aug 1857,,,,,0,11,
12 Aug 1857,170,S,,11,,,
12 Aug 1857,171,N,11,,22,22,
13 Aug 1857,170,S,,11,,,
13 Aug 1857,171,N,11,,22,22,
14 Aug 1857,170,S,,12,,,
14 Aug 1857,171,N,11,,23,22,
16 Aug 1857,170,S,,11,,,
16 Aug 1857,171,N,11,,22,22,
17 Aug 1857,170,S,,11,,,
17 Aug 1857,171,N,11,,22,22,
18 Aug 1857,170,S,,12,,,
18 Aug 1857,171,N,11,,23,22,
19 Aug 1857,169,N,12,,,,
19 Aug 1857,170,S,,11,,,
19 Aug 1857,171,N,11,,34,35,
20 Aug 1857,,,,,0,35,169 close to limb - missed by C?
21 Aug 1857,,,,,0,16,
22 Aug 1857,173,S,,11,11,16,
23 Aug 1857,173,S,,11,11,16,
24 Aug 1857,173,S,,11,11,16,
25 Aug 1857,173,S,,11,,,
25 Aug 1857,174,N,12,,23,22,
26 Aug 1857,172,S,,11,,,Single measure on each of 2 days. No sequence. Rotation chart shows two spots.
26 Aug 1857,173,S,,12,,,
26 Aug 1857,174,N,14,,37,34,
27 Aug 1857,172,S,,11,,,See note for 26 Aug.
27 Aug 1857,173,S,,12,,,
27 Aug 1857,174,N,15,,38,38,
28 Aug 1857,173,S,,11,,,
28 Aug 1857,174,N,12,,23,39,
30 Aug 1857,173,S,,12,,,
30 Aug 1857,174,N,13,,25,27,
31 Aug 1857,173,S,,11,,,
31 Aug 1857,174,N,13,,24,26,
,,,,,,,"Rn = 7.0, Rs = 8.5, R = 15.5."
1 Sep 1857,173,S,,11,,,
1 Sep 1857,175,S,,11,22,37,No sequence. Not shown on relevant rotation chart.
2 Sep 1857,173,S,,11,,,
2 Sep 1857,175,S,,11,,,
2 Sep 1857,177,S,,12,34,38,
5 Sep 1857,177,S,,12,,,
5 Sep 1857,176,N,12,,,,
5 Sep 1857,179,N,12,,36,48,
6 Sep 1857,176,N,13,,,,
6 Sep 1857,178,S,,13,,,
6 Sep 1857,179,N,14,,40,50,
7 Sep 1857,176,N,11,,,,
7 Sep 1857,178,S,,14,,,
7 Sep 1857,179,N,15,,40,40,
10 Sep 1857,178,S,,17,,,
10 Sep 1857,180,S,,11,,,
10 Sep 1857,179,N,14,,,,
10 Sep 1857,181,N,19,,61,66,
13 Sep 1857,179,N,16,,,,
13 Sep 1857,180,S,,11,,,
13 Sep 1857,181,N,17,,,,
13 Sep 1857,182,S,,11,55,64,
14 Sep 1857,179,N,20,,,,"C's note: ""dying away""."
14 Sep 1857,180,S,,11,,,
14 Sep 1857,181,N,17,,,,
14 Sep 1857,182,S,,11,59,60,
16 Sep 1857,179,N,19,,,,
16 Sep 1857,180,S,,11,,,
16 Sep 1857,181,N,13,,,,
16 Sep 1857,182,S,,13,56,60,C's sequence drawing difficult to interpret.
17 Sep 1857,179,N,12,,,,"179 extremely close to limb. No sequence drawing today, but two measures."
17 Sep 1857,180,S,,11,,,
17 Sep 1857,181,N,15,,,,
17 Sep 1857,182,S,,12,50,51,
18 Sep 1857,180,S,,11,,,
18 Sep 1857,181,N,12,,,,
18 Sep 1857,182,S,,13,36,49,
20 Sep 1857,181,N,11,,,,
20 Sep 1857,182,S,,14,,,
20 Sep 1857,184,N,13,,38,39,
21 Sep 1857,182,S,,18,,,
21 Sep 1857,184,N,13,,31,29,
23 Sep 1857,184,N,16,,16,24,
24 Sep 1857,183,N,12,,,,
24 Sep 1857,184,N,13,,25,27,
26 Sep 1857,183,N,24,,,,
26 Sep 1857,184,N,14,,38,38,
29 Sep 1857,183,N,22,,22,21,C's sequence drawing difficult to interpret.
30 Sep 1857,183,N,16,,,,
30 Sep 1857,185,S,,11,27,30,
,,,,,,,"Rn = 22.5, Rs = 15.6, R = 38.1."
1 Oct 1857,183,N,11,,11,16,
2 Oct 1857,186,N,13,,,,No sequence. Observed once. Rotation chart shows 3 spots.
2 Oct 1857,187,N,11,,24,16,No drawing for today on sequence. Single measure.
5 Oct 1857,187,N,12,,,,
5 Oct 1857,189,N,11,,23,34,
6 Oct 1857,187,N,12,,,,
6 Oct 1857,189,N,11,,23,33,
10 Oct 1857,187,N,11,,,,
10 Oct 1857,189,N,11,,,,
10 Oct 1857,190,S,,13,,,No sequence. Observed once. Rotation chart shows 3 spots.
10 Oct 1857,191,S,,12,,,No sequence. Observed once. Rotation chart shows 2 spots.
10 Oct 1857,192,S,,13,60,53,
13 Oct 1857,187,N,11,,,,
13 Oct 1857,189,N,12,,,,
13 Oct 1857,188,S,,14,,,No sequence. Observed once. Rotation chart shows 4 spots.
13 Oct 1857,192,S,,27,64,45,
14 Oct 1857,187,N,11,,,,
14 Oct 1857,189,N,11,,,,
14 Oct 1857,192,S,,26,48,46,
16 Oct 1857,189,N,13,,,,
16 Oct 1857,192,S,,20,,,C's drawing difficult to interpret.
16 Oct 1857,194,N,11,,44,61,
17 Oct 1857,192,S,,15,,,C's drawing difficult to interpret.
17 Oct 1857,194,N,11,,26,36,
19 Oct 1857,192,S,,15,,,
19 Oct 1857,193,S,,14,,,
19 Oct 1857,194,N,14,,43,54,
20 Oct 1857,192,S,,22,,,
20 Oct 1857,193,S,,14,,,
20 Oct 1857,194,N,11,,47,45,
23 Oct 1857,193,S,,11,,,
23 Oct 1857,194,N,15,,26,37,
24 Oct 1857,194,N,11,,11,12,
26 Oct 1857,194,N,11,,,,
26 Oct 1857,198,N,11,,22,33,
27 Oct 1857,195,N,15,,,,
27 Oct 1857,200,S,,11,,,
27 Oct 1857,198,N,11,,,,
27 Oct 1857,199,N,11,,48,42,
28 Oct 1857,195,N,14,,,,
28 Oct 1857,200,S,,12,,,No drawing in sequence for today. Single measure. Extremely close to limb.
28 Oct 1857,198,N,14,,,,
28 Oct 1857,199,N,13,,53,48,
30 Oct 1857,196,S,,11,,,Single measure. Not shown on rotation chart.
30 Oct 1857,200,S,,19,,,
30 Oct 1857,198,N,11,,,,
30 Oct 1857,199,N,13,,54,45,
,,,,,,,"Rn = 21.1, Rs = 15.8, R = 36.9."
1 Nov 1857,197,S,,19,,,
1 Nov 1857,200,S,,47,,,
1 Nov 1857,199,N,15,,81,68,
8 Nov 1857,200,S,,12,,,
8 Nov 1857,201,S,,12,24,27,
9 Nov 1857,201,S,,12,12,15,
11 Nov 1857,201,S,,13,13,24,
15 Nov 1857,201,S,,11,,,
15 Nov 1857,203,S,,16,,,
15 Nov 1857,204,N,15,,42,36,
18 Nov 1857,203,S,,14,,,
18 Nov 1857,204,N,14,,,,
18 Nov 1857,205,S,,18,,,
18 Nov 1857,206,N,11,,57,58,
19 Nov 1857,202,S,,12,,,Single observation. Rotation chart shows two spots.
19 Nov 1857,203,S,,15,,,
19 Nov 1857,205,S,,13,,,
19 Nov 1857,207,S,,11,51,50,
22 Nov 1857,203,S,,11,,,
22 Nov 1857,207,S,,11,22,46,
25 Nov 1857,207,S,,11,11,11,
27 Nov 1857,207,S,,11,11,11,
28 Nov 1857,207,S,,11,11,11,
,,,,,,,"Rn = 5.0, Rs = 25.5, R = 30.5."
4 Dec 1857,208,S,,12,,,
4 Dec 1857,209,N,11,,23,23,
5 Dec 1857,208,S,,12,,,
5 Dec 1857,209,N,11,,23,23,
8 Dec 1857,208,S,,11,,,
8 Dec 1857,209,N,11,,22,22,
11 Dec 1857,210,S,,11,11,11,
19 Dec 1857,210,S,,22,,,
19 Dec 1857,211,N,18,,,,
19 Dec 1857,213,N,13,,,,
19 Dec 1857,214,N,11,,,,
19 Dec 1857,215,N,19,,83,68,
23 Dec 1857,212,N,11,,,,
23 Dec 1857,214,N,16,,,,
23 Dec 1857,215,N,11,,38,42,
29 Dec 1857,216,N,21,,21,19,
31 Dec 1857,216,N,15,,15,15,
,,,,,,,"Rn = 21.0, Rs = 8.5, R = 29.5."
4 Jan 1858,216,N,11,,,,
4 Jan 1858,217,S,,18,,,Observed once. Rotation chart shows 8 spots.
4 Jan 1858,220,S,,30,,,"C: ""..two groups with the remains of 210 between them"". Two groups today."
4 Jan 1858,219,S,,15,74,66,
9 Jan 1858,218,N,11,,,,
9 Jan 1858,219,S,,14,,,
9 Jan 1858,220,S,,43,68,84,See note for 4 Jan. Three groups today.
11 Jan 1858,218,N,11,,,,
11 Jan 1858,219,S,,15,,,
11 Jan 1858,220,S,,42,68,70,See note for 9 Jan.
12 Jan 1858,219,S,,14,,,
12 Jan 1858,220,S,,62,76,60,See note for 9 Jan. Today's drawing difficult to interpret.
13 Jan 1858,219,S,,14,,,
13 Jan 1858,220,S,,67,,,See note for 12 Jan.
13 Jan 1858,222,N,11,,92,56,No sequence. Observed twice. Single measure today.
14 Jan 1858,220,S,,34,,,See previous notes for 220. Two groups today.
14 Jan 1858,222,N,12,,46,39,See note for 13 Jan. Two measures today.
17 Jan 1858,,,,,0,0,
18 Jan 1858,221,S,,17,17,14,
19 Jan 1858,221,S,,12,,,
19 Jan 1858,223,N,11,,,,
19 Jan 1858,224,N,11,,34,19,
21 Jan 1858,224,N,11,,11,12,
22 Jan 1858,224,N,13,,13,27,
23 Jan 1858,224,N,16,,16,14,
24 Jan 1858,224,N,15,,,,
24 Jan 1858,225,S,,11,26,14,
25 Jan 1858,224,N,13,,,,
25 Jan 1858,225,S,,11,24,13,
26 Jan 1858,224,N,13,,,,
26 Jan 1858,226,S,,12,25,29,
27 Jan 1858,224,N,12,,,,
27 Jan 1858,226,S,,18,30,35,
28 Jan 1858,224,N,12,,,,
28 Jan 1858,226,S,,20,32,24,
31 Jan 1858,224,N,12,,,,
31 Jan 1858,226,S,,12,,,
31 Jan 1858,227,N,11,,,,
31 Jan 1858,229,S,,12,47,54,
,,,,,,,"Rn = 11.4, Rs = 27.4, R = 38.8."
1 Feb 1858,226,S,,12,,,
1 Feb 1858,227,N,15,,,,
1 Feb 1858,229,S,,13,40,57,
5 Feb 1858,227,N,12,,,,
5 Feb 1858,229,S,,40,52,35,229 comprises two groups today. Drawing difficult to interpret.
8 Feb 1858,229,S,,55,55,23,See note for 5 Feb.
9 Feb 1858,228,N,11,,,,
9 Feb 1858,229,S,,58,69,23,See note for 5 Feb.
18 Feb 1858,230,N,11,,,,
18 Feb 1858,231,S,,15,26,26,
19 Feb 1858,230,N,11,,,,
19 Feb 1858,231,S,,16,,,
19 Feb 1858,232,N,11,,,,
19 Feb 1858,233,S,,12,50,66,
22 Feb 1858,231,S,,16,,,
22 Feb 1858,233,S,,12,28,62,
28 Feb 1858,233,S,,11,,,
28 Feb 1858,234,N,16,,,,
28 Feb 1858,235,N,30,,,,Counted as two groups.
28 Feb 1858,239,S,,15,72,50,Treated as one group.
,,,,,,,"Rn = 14.6, Rs = 34.4, R = 49.0."
4 Mar 1858,235,N,30,,,,See note for 28 Feb.
4 Mar 1858,239,S,,41,,,Two groups today.
4 Mar 1858,234,N,12,,,,
4 Mar 1858,238,N,12,,,,
4 Mar 1858,241,N,12,,107,102,
6 Mar 1858,234,N,12,,,,
6 Mar 1858,235,N,28,,,,
6 Mar 1858,236,N,12,,,,"C: ""Two dots only""."
6 Mar 1858,238,N,11,,,,
6 Mar 1858,241,N,25,,,,
6 Mar 1858,239,S,,31,,,See note for 4 Mar.
6 Mar 1858,242,S,,11,,,"C: ""A dot observed only twice""."
6 Mar 1858,243,S,,11,141,124,
7 Mar 1858,236,N,12,,,,See note for 6 Mar.
7 Mar 1858,238,N,12,,,,
7 Mar 1858,241,N,22,,,,
7 Mar 1858,240,N,11,,,,
7 Mar 1858,242,S,,11,,,See note for 6 Mar.
7 Mar 1858,243,S,,11,,,
7 Mar 1858,235,N,27,,,,
7 Mar 1858,239,S,,30,136,63,See note for 4 Mar.
8 Mar 1858,238,N,13,,,,
8 Mar 1858,237,S,,12,,,
8 Mar 1858,239,S,,13,,,Single group today.
8 Mar 1858,235,N,22,,,,
8 Mar 1858,241,N,25,,85,57,
10 Mar 1858,237,S,,11,,,
10 Mar 1858,239,S,,12,,,See note for 8 Mar.
10 Mar 1858,241,N,17,,,,
10 Mar 1858,244,S,,13,53,40,"C: ""One of the largest groups recorded. Seen generally with the naked eye""."
11 Mar 1858,239,S,,11,,,See note for 8 Mar.
11 Mar 1858,241,N,12,,,,
11 Mar 1858,244,S,,15,38,49,
12 Mar 1858,241,N,12,,,,
12 Mar 1858,244,S,,18,30,40,
15 Mar 1858,245,N,12,,,,
15 Mar 1858,244,S,,24,36,29,
16 Mar 1858,245,N,11,,,,
16 Mar 1858,246,N,11,,,,
16 Mar 1858,244,S,,25,,,
16 Mar 1858,247,S,,14,61,67,Single group today.
19 Mar 1858,244,S,,28,,,
19 Mar 1858,247,S,,26,,,Two groups today. Sequence drawing difficult to interpret.
19 Mar 1858,249,S,,11,65,87,
20 Mar 1858,244,S,,25,,,
20 Mar 1858,248,N,11,,,,
20 Mar 1858,247,S,,27,,,Two groups today.
20 Mar 1858,249,S,,12,,,
20 Mar 1858,246,N,13,,88,92,
21 Mar 1858,244,S,,19,,,
21 Mar 1858,249,S,,15,,,
21 Mar 1858,246,N,13,,,,
21 Mar 1858,248,N,11,,,,
21 Mar 1858,247,S,,30,88,76,See note for 20 Mar.
22 Mar 1858,244,S,,17,,,
22 Mar 1858,246,N,13,,,,
22 Mar 1858,248,N,11,,,,
22 Mar 1858,247,S,,26,,,See note for 20 Mar.
22 Mar 1858,249,S,,13,80,70,
23 Mar 1858,246,N,17,,,,
23 Mar 1858,248,N,11,,,,
23 Mar 1858,247,S,,29,,,See note for 19 Mar.
23 Mar 1858,249,S,,12,69,57,
24 Mar 1858,246,N,13,,,,
24 Mar 1858,247,S,,28,,,See note for 19 Mar.
24 Mar 1858,249,S,,12,53,42,
26 Mar 1858,246,N,12,,,,
26 Mar 1858,247,S,,11,,,See note for 16 Mar.
26 Mar 1858,250,S,,28,51,44,Two groups today.
27 Mar 1858,250,S,,17,17,17,Single group today.
28 Mar 1858,250,S,,11,11,14,See note for 27 Mar.
29 Mar 1858,250,S,,11,11,12,See note for 27 Mar.
,,,,,,,"Rn = 26.2, Rs = 38.0, R = 64.2."
4 Apr 1858,251,S,,11,,,
4 Apr 1858,252,S,,12,23,13,Observed once. Single measure. Rotation chart shows 2 spots.
11 Apr 1858,254,N,11,,,,
11 Apr 1858,253,S,,18,29,36,
12 Apr 1858,254,N,11,,,,
12 Apr 1858,253,S,,19,30,46,
15 Apr 1858,253,S,,15,,,
15 Apr 1858,258,N,26,,,,"C: ""Two or three small groups of dots"". Two groups today."
15 Apr 1858,259,S,,15,56,41,
16 Apr 1858,253,S,,13,,,
16 Apr 1858,255,S,,12,,,
16 Apr 1858,258,N,15,,,,One group today.
16 Apr 1858,259,S,,11,51,41,
18 Apr 1858,256,N,11,,,,
18 Apr 1858,258,N,16,,,,See note for 16 Apr.
18 Apr 1858,260,S,,11,38,28,
19 Apr 1858,257,S,,13,,,
19 Apr 1858,258,N,16,,,,See note for 16 Apr.
19 Apr 1858,259,S,,13,,,
19 Apr 1858,260,S,,12,54,52,
20 Apr 1858,257,S,,14,,,
20 Apr 1858,258,N,25,,,,Two groups today.
20 Apr 1858,260,S,,17,56,54,
21 Apr 1858,257,S,,11,,,
21 Apr 1858,258,N,24,,,,See note for 20 Apr.
